,targetname,datetime_jd,datetime_str,x,y,z,vx,vy,vz,lighttime,range,range_rate
51,Earth (399),2460913.820848222,A.D. 2025-Aug-26 07:42:01.2864,0.900326686441751,-0.458998145601245,2.350161446678724e-05,0.007534588873971427,0.01526960006915726,-3.437585346111565e-07,0.005836610468321327,1.010577775600122,-0.0002227702753085324
52,Earth (399),2460913.822008222,A.D. 2025-Aug-26 07:43:41.5104,0.9003354263901512,-0.4589804327767645,2.350121566863517e-05,0.007534287662821861,0.01526975245301606,-3.438245068330119e-07,0.005836608975833165,1.010577517183807,-0.0002227750945165196
53,Earth (399),2460913.823173222,A.D. 2025-Aug-26 07:45:22.1664,0.9003442036590562,-0.4589626434260314,2.350081507444927e-05,0.007533985150293983,0.01526990548745558,-3.438908005090902e-07,0.00583660747687937,1.010577257648003,-0.0002227799341867017
54,Earth (399),2460913.824333222,A.D. 2025-Aug-26 07:47:02.3904,0.9003529429071333,-0.458944930247273,2.35004161228011e-05,0.007533683933060873,0.01527005785887604,-3.439568465836809e-07,0.005836605984326498,1.010576999220485,-0.0002227847527768158
55,Earth (399),2460920.807129222,A.D. 2025-Sep-02 07:22:15.9648,0.9465122141782898,-0.3493772407709379,1.85559903197496e-05,0.00567210440559541,0.01607456591370007,-1.175525258979557e-06,0.005827122570774879,1.008934997064592,-0.000245180718342902
56,Earth (399),2460920.808297222,A.D. 2025-Sep-02 07:23:56.8800,0.9465188390102619,-0.3493584656103494,1.855461720793033e-05,0.005671785958151456,0.01607468166972672,-1.175693551460779e-06,0.005827120916824943,1.008934710692037,-0.0002451832435531737
57,Earth (399),2460920.809464222,A.D. 2025-Sep-02 07:25:37.7088,0.9465254577988169,-0.3493397063893649,1.8553245075458e-05,0.005671467781312165,0.01607479732041041,-1.175861693019208e-06,0.005827119264274054,1.008934424561721,-0.0002451857661676029
58,Earth (399),2460920.810631222,A.D. 2025-Sep-02 07:27:18.5376,0.9465320762160657,-0.3493209470333976,1.85518727467577e-05,0.005671149602434722,0.01607491296486023,-1.176029827734672e-06,0.005827117611706159,1.008934138428459,-0.0002451882883483787
59,Earth (399),2460920.811795222,A.D. 2025-Sep-02 07:28:59.1072,0.946538677249497,-0.34930223576758,1.855050375042182e-05,0.005670832239468368,0.01607502830581348,-1.176197523396414e-06,0.005827115963369579,1.008933853027828,-0.0002451908036133906
60,Earth (399),2460920.815499222,A.D. 2025-Sep-02 07:34:19.1328,0.9465596801417734,-0.3492426931830609,1.854614612656586e-05,0.005669822335579702,0.01607539529452088,-1.176731107391928e-06,0.005827110718034846,1.008932944826272,-0.0002451988046442432
61,Earth (399),2460920.816666222,A.D. 2025-Sep-02 07:35:59.9616,0.9465662966387735,-0.3492239331292988,1.854477278328224e-05,0.005669504146166905,0.01607551090673286,-1.176899206549617e-06,0.005827109065379081,1.008932658677797,-0.0002452013245823034
62,Earth (399),2460920.817835222,A.D. 2025-Sep-02 07:37:40.9632,0.9465729241028208,-0.3492051407893557,1.854339688970728e-05,0.005669185409400049,0.01607562671083092,-1.177067586863949e-06,0.005827107409873975,1.008932372035974,-0.0002452038484042182
63,Earth (399),2460920.822572222,A.D. 2025-Sep-02 07:44:30.2400,0.9465997759749656,-0.3491289894342904,1.853781950462736e-05,0.005667893809299504,0.01607609590601005,-1.177749823299071e-06,0.005827100701292673,1.008931210481128,-0.0002452140709336876
64,Earth (399),2460913.831309375,A.D. 2025-Aug-26 07:57:05.1300,0.9004054927184227,-0.4588384007947603,2.349801523990796e-05,0.007531872371270575,0.015270974078255,-3.443548194701869e-07,0.005836597007545,1.010575444938949,-0.0002228137249108254
65,Earth (399),2460913.829743981,A.D. 2025-Aug-26 07:54:49.8800,0.900393702056056,-0.4588623057177041,2.349855422071218e-05,0.007532278880960696,0.01527076850540325,-3.442654016189503e-07,0.00583659902196536,1.010575793725023,-0.0002228072247639763
66,Earth (399),2460913.825022801,A.D. 2025-Aug-26 07:48:01.9700,0.9003581379133925,-0.4589344003093434,2.350017892401606e-05,0.007533504868701098,0.01527014843531981,-3.43996126083157e-07,0.005836605097041655,1.010576845591876,-0.0002227876171109662
67,Earth (399),2460913.823415393,A.D. 2025-Aug-26 07:45:43.0900,0.9003460281663989,-0.4589589454893597,2.350073179230753e-05,0.007533922265917062,0.0152699372982996,-3.439045857942208e-07,0.005836607165284223,1.010577203696976,-0.0002227809401813131
68,Earth (399),2460913.836240625,A.D. 2025-Aug-26 08:04:11.1900,0.9004426311065793,-0.4587630942072512,2.349631644490424e-05,0.007530591762008662,0.01527162159305946,-3.446369386477041e-07,0.005836590661401634,1.010574346138287,-0.0002228341977805363
69,Earth (399),2460913.861718171,A.D. 2025-Aug-26 08:40:52.4500,0.9006344078148812,-0.458373968160989,2.348751727633847e-05,0.007523974558360355,0.01527496522358235,-3.461051005900464e-07,0.005836557864455414,1.010568667523082,-0.0002229398829005799
70,Earth (399),2460913.860111343,A.D. 2025-Aug-26 08:38:33.6200,0.9006223177412616,-0.4583985122442166,2.348807333316025e-05,0.007524391938153182,0.01527475443452983,-3.4601198282511e-07,0.005836559933366511,1.010569025743933,-0.0002229332219165848
71,Earth (399),2460913.875556482,A.D. 2025-Aug-26 09:00:48.0800,0.9007385020362079,-0.4581625758958284,2.348272220369425e-05,0.00752037976484162,0.01527678008550565,-3.469099581976385e-07,0.005836540044047084,1.010565582015027,-0.000222997223930341
72,Earth (399),2460913.878664121,A.D. 2025-Aug-26 09:05:16.5800,0.9007618714063784,-0.4581151005468408,2.348164385094965e-05,0.0075195724307409,0.01527718752360108,-3.470914196918159e-07,0.005836536041527145,1.010564889000182,-0.0002230100948101576
73,Earth (399),2460913.877111111,A.D. 2025-Aug-26 09:03:02.4000,0.9007501931274734,-0.4581388260024317,2.348218281666325e-05,0.007519975890027736,0.01527698391634389,-3.470007034313989e-07,0.005836538041772505,1.010565235331931,-0.0002230036630042053
74,Earth (399),2460913.873954167,A.D. 2025-Aug-26 08:58:29.6400,0.9007264516868043,-0.4581870539385748,2.348327798776412e-05,0.007520796022028331,0.01527656999089337,-3.468164983141584e-07,0.00583654210767697,1.010565939321466,-0.0002229905867674069
75,Earth (399),2460913.872346065,A.D. 2025-Aug-26 08:56:10.7000,0.9007143571449024,-0.4582116200495113,2.348383562867858e-05,0.007521213776794077,0.01527635912558131,-3.4672277109539e-07,0.005836544178698251,1.010566297907684,-0.0002229839250380903
76,Earth (399),2460913.880223033,A.D. 2025-Aug-26 09:07:31.2700,0.900773593442671,-0.4580912845960303,2.348110269490352e-05,0.007519167432506672,0.01527739189355292,-3.471825466871554e-07,0.005836534033621108,1.010564541342029,-0.0002230165505029844
77,Earth (399),2460913.886674884,A.D. 2025-Aug-26 09:16:48.7100,0.9008221005896894,-0.4579927143985572,2.34788615062976e-05,0.007517491212740769,0.01527823759798753,-3.475603951506002e-07,0.005836525722904808,1.010563102386108,-0.0002230432626432192
78,Earth (399),2460913.889783218,A.D. 2025-Aug-26 09:21:17.2700,0.9008454662030767,-0.457945223910235,2.347778088921163e-05,0.007516683620542427,0.01527864496770755,-3.4774283617585e-07,0.005836521718663999,1.010562409073304,-0.000223056128422766
79,Earth (399),2460913.888229398,A.D. 2025-Aug-26 09:19:03.0200,0.9008337863202636,-0.4579689640076669,2.347832114788831e-05,0.007517087329141991,0.01527844133392458,-3.476516032550914e-07,0.005836523720365973,1.010562755657257,-0.00022304969724911
80,Earth (399),2460913.885072569,A.D. 2025-Aug-26 09:14:30.2700,0.9008100548686236,-0.4580171947767634,2.347941833214379e-05,0.007517907509979023,0.01527802758555299,-3.474664510980424e-07,0.005836527786960763,1.010563459766318,-0.0002230366295907604
81,Earth (399),2460913.891337037,A.D. 2025-Aug-26 09:23:31.5200,0.9008571454585954,-0.4579214834964015,2.347724048871791e-05,0.007516279906517949,0.01527884859035325,-3.4783413462801e-07,0.005836519716904311,1.010562062479358,-0.0002230625590387199
82,Earth (399),2460913.897782523,A.D. 2025-Aug-26 09:32:48.4100,0.9009055861391748,-0.4578230011681838,2.347499730648057e-05,0.007514605179678798,0.01527969313001792,-3.482135543462037e-07,0.005836511412675893,1.010560624646779,-0.000223089228282359
83,Earth (399),2460913.900891667,A.D. 2025-Aug-26 09:37:17.0400,0.9009289488692606,-0.4577754937761102,2.347391437549821e-05,0.007513797299398271,0.01528010044660206,-3.483969798588031e-07,0.005836507406566021,1.010559931010357,-0.0002231020894337979
